                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9769,                 1.5049,                 1.7769,                0.52147,                0.20687,                0.22909,                0.06769,                 2.8054,                 3.0468,                 2.3676,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.9611,                 1.4635,                 1.7678,                0.75029,                 0.7461,                0.79765,                0.35989,                 1.8632,                 1.2832,                 1.7331,               0.066696,              0.0036963,              0.0036963
                      2,                 1.9468,                 1.4361,                 1.7374,                0.51225,                0.30426,                0.31347,                0.09762,                 2.5753,                 2.5527,                    2.3,               0.049589,              0.0055889,              0.0055889
                      3,                 1.9586,                 1.4268,                  1.765,                0.72173,                0.68532,                0.73088,                0.28783,                  2.076,                 1.2412,                 1.8004,               0.032478,              0.0074777,              0.0074777
                      4,                 1.9993,                 1.5034,                 1.8202,                0.47875,                0.17997,                0.26472,                0.08405,                 2.5956,                  3.121,                 2.3499,               0.015363,              0.0093628,              0.0093628
                      5,                 2.1138,                 1.5898,                 1.8407,                0.56973,                0.68271,                0.64424,                0.24241,                  2.085,                 1.6195,                  1.849,              0.0099505,              0.0099505,              0.0099505
                      6,                 2.0907,                 1.6103,                 1.8462,                 0.7314,                0.58291,                0.65849,                0.27936,                  2.041,                 1.5345,                 1.8792,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9981,                  1.493,                  1.755,                 0.4976,                0.42262,                0.43715,                 0.1667,                 2.2627,                 2.1336,                 2.0665,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.9497,                 1.4676,                 1.7708,                0.69356,                0.65265,                0.65621,                0.26411,                 2.1176,                 1.3688,                 1.7868,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.9726,                 1.4427,                 1.7353,                0.62529,                0.59164,                0.62101,                0.26605,                 1.9938,                 1.5947,                  1.859,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.8985,                 1.4611,                   1.74,                0.64989,                0.64917,                0.67899,                 0.2524,                 2.1311,                 1.4047,                 1.9033,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.9274,                 1.3914,                 1.7239,                0.78043,                0.76076,                0.81269,                0.38165,                 1.7576,                 1.2008,                 1.6546,               0.009901,               0.009901,               0.009901
                     12,                 1.8979,                 1.3942,                 1.7311,                0.48852,                0.27283,                 0.3177,                0.09813,                 2.6467,                 2.7779,                 2.2131,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.8866,                 1.3501,                 1.6973,                0.70564,                0.57775,                  0.694,                0.30476,                 1.9099,                 1.5672,                 1.7711,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.8651,                 1.3611,                 1.7148,                0.46836,                0.19941,                0.27013,                0.07827,                 2.7051,                 2.9515,                 2.3037,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.8632,                 1.3586,                 1.6865,                0.75531,                0.77481,                0.81191,                0.35396,                 1.8949,                  1.224,                 1.7157,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.7982,                   1.31,                 1.6339,                0.71878,                0.74463,                0.79099,                0.34822,                 1.8796,                 1.1626,                 1.6758,              0.0098515,              0.0098515,              0.0098515
                     17,                  1.788,                 1.2957,                 1.6388,                0.77225,                0.77736,                0.82247,                0.35098,                 1.9018,                 1.2145,                 1.7033,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7816,                 1.3016,                  1.646,                0.80502,                0.81569,                0.86947,                0.43211,                 1.6601,                 1.0607,                 1.5989,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.8541,                  1.307,                  1.649,                0.56357,                0.34368,                0.41407,                0.13937,                  2.441,                 2.2997,                 2.1302,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.7852,                 1.2811,                 1.6196,                0.83749,                 0.8222,                 0.8863,                 0.4439,                  1.639,                 1.0499,                 1.5749,              0.0098119,              0.0098119,              0.0098119
                     21,                  1.788,                 1.2917,                 1.6347,                0.74712,                0.68313,                0.76089,                0.36094,                 1.7792,                 1.2602,                 1.6482,               0.009802,               0.009802,               0.009802
                     22,                 1.7572,                 1.2334,                 1.5893,                0.77164,                0.78909,                 0.8407,                 0.3817,                 1.7598,                 1.1666,                 1.6042,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.7032,                 1.2102,                  1.552,                0.79571,                0.80699,                0.85894,                0.42573,                 1.6428,                 1.1033,                 1.5391,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.7277,                 1.2065,                 1.5833,                0.83866,                0.84219,                0.90542,                 0.4494,                  1.647,                 1.0357,                 1.5584,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.7214,                 1.2407,                 1.5668,                0.83402,                0.85473,                0.90289,                0.48449,                 1.5188,                 1.0133,                 1.4654,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.6829,                 1.1764,                 1.5472,                0.79769,                0.80278,                0.86773,                0.42535,                 1.6598,                 1.0825,                 1.5227,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.6768,                 1.1874,                 1.5499,                0.77628,                 0.8301,                0.88779,                0.46053,                 1.5969,                  1.044,                 1.5158,              0.0097426,              0.0097426,              0.0097426
                     28,                  1.674,                 1.1813,                 1.5485,                0.84919,                0.73067,                0.79438,                0.40166,                 1.7372,                 1.1705,                 1.6105,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.6585,                 1.1481,                  1.512,                0.86687,                 0.8713,                 0.9285,                0.49789,                 1.5344,                 1.0655,                 1.4766,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.6973,                 1.1854,                 1.5419,                  0.741,                 0.6125,                0.72653,                0.31867,                 1.9542,                 1.4233,                 1.7918,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.6413,                 1.1327,                 1.5055,                0.82048,                0.83542,                0.88911,                0.45781,                 1.5783,                 1.1082,                 1.5212,               0.009703,               0.009703,               0.009703
                     32,                  1.654,                 1.1345,                 1.4954,                0.84311,                0.87374,                0.91228,                0.46746,                 1.5667,                0.96634,                  1.481,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.6488,                 1.1447,                   1.54,                0.85367,                0.89795,                0.92042,                0.48553,                 1.5573,                0.94969,                 1.4678,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.6025,                  1.126,                 1.4799,                0.81191,                0.88186,                 0.9103,                0.45509,                 1.6644,                 1.0182,                 1.5089,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.6253,                 1.1143,                 1.4972,                 0.8649,                0.87803,                0.92746,                0.50107,                 1.4794,                0.96802,                 1.4176,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5912,                 1.0957,                 1.4789,                0.80776,                0.83782,                0.89013,                0.42354,                  1.729,                 1.0535,                 1.5223,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.5719,                 1.0635,                 1.4727,                0.85247,                0.87126,                0.92744,                0.47705,                 1.5561,                0.95097,                 1.4406,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6042,                 1.0963,                 1.4775,                0.87099,                0.84431,                0.91775,                 0.4904,                 1.5234,                0.94346,                 1.4594,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.5948,                 1.0786,                 1.4618,                0.85223,                0.74557,                0.85813,                 0.4363,                 1.6501,                  1.204,                  1.521,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.5849,                 1.0942,                 1.4558,                0.73494,                0.59345,                0.71621,                0.36661,                 1.7256,                 1.6805,                 1.6605,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5671,                 1.0681,                 1.4495,                0.88235,                0.88403,                 0.9358,                0.51021,                 1.4531,                0.90684,                 1.4023,               0.009604,               0.009604,               0.009604
                     42,                  1.545,                 1.0898,                 1.4705,                0.89944,                0.91862,                0.95544,                0.50649,                 1.5164,                 0.8869,                 1.4449,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.5261,                 1.0206,                 1.4232,                0.89526,                0.91342,                0.95217,                0.50611,                 1.5237,                0.87421,                 1.4044,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.5545,                 1.0491,                 1.4458,                0.87174,                0.90228,                0.94036,                0.50778,                 1.4547,                0.86999,                 1.3772,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5219,                 1.0374,                  1.432,                0.76206,                  0.703,                0.79038,                0.40291,                 1.6934,                 1.2718,                 1.5708,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5366,                 1.0298,                 1.4214,                0.88798,                0.88774,                0.94451,                0.52233,                 1.4421,                0.90747,                 1.3773,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.5129,                 1.0325,                 1.4168,                0.86785,                0.90233,                0.93975,                0.52498,                 1.4791,                0.91141,                 1.3977,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.5013,                 1.0058,                  1.397,                0.90523,                0.93009,                0.95758,                0.54674,                 1.3932,                0.87121,                 1.3557,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.5254,                 1.0145,                 1.4076,                0.87566,                0.90676,                0.94403,                0.50355,                 1.5076,                0.89233,                 1.4402,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4938,                0.99423,                 1.3941,                0.89173,                0.93217,                0.95802,                0.53285,                 1.4179,                0.85682,                 1.3605,              0.0095149,              0.0095149,              0.0095149
                     51,                   1.53,                 1.0125,                 1.4009,                 0.9028,                 0.8937,                0.94779,                0.50906,                 1.5041,                0.88109,                 1.4467,               0.009505,               0.009505,               0.009505
                     52,                 1.5099,                 1.0055,                 1.4098,                 0.9072,                0.92563,                0.95773,                0.53905,                 1.4144,                0.84984,                 1.3549,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.5062,                 1.0036,                 1.4068,                0.88702,                0.91493,                0.95213,                0.53811,                 1.3882,                0.88226,                 1.3336,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4958,                0.98214,                 1.3972,                0.90716,                0.89903,                0.94402,                0.51625,                 1.4775,                0.89648,                 1.3939,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4994,                 1.0161,                 1.4121,                0.89481,                0.91225,                0.96127,                0.54319,                 1.4249,                0.84805,                 1.3585,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4673,                0.95567,                 1.3541,                0.91543,                0.92912,                0.96097,                0.54644,                 1.4179,                0.82905,                 1.3639,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4535,                0.97995,                 1.3907,                0.88238,                0.87289,                0.94013,                 0.5145,                 1.4862,                0.92399,                 1.3925,              0.0094456,              0.0094456,              0.0094456
                     58,                  1.497,                0.99366,                 1.3945,                0.83884,                0.78379,                0.87331,                0.43542,                  1.643,                 1.0477,                 1.5006,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4923,                0.97684,                 1.3921,                0.85938,                0.82675,                0.92124,                0.51046,                 1.4627,                 1.0203,                 1.4035,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4821,                0.95487,                 1.3538,                0.91334,                0.88824,                0.95979,                0.54744,                 1.4176,                  0.848,                 1.3438,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.5002,                0.97305,                 1.3647,                0.90402,                0.89603,                0.95577,                0.49694,                 1.5437,                  0.882,                 1.4142,               0.009406,               0.009406,               0.009406
                     62,                  1.451,                0.96558,                 1.3496,                 0.6438,                0.50581,                0.61608,                0.30327,                 1.7946,                 1.9882,                  1.646,              0.0093961,              0.0093961,              0.0093961
                     63,                  1.434,                0.93648,                 1.3619,                0.92971,                0.93677,                0.96518,                0.57285,                 1.3696,                0.79442,                 1.3512,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4248,                0.95317,                 1.3567,                0.93676,                0.94133,                0.96957,                0.57558,                  1.319,                0.83288,                 1.3084,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4548,                0.96256,                 1.3813,                0.91619,                0.91781,                0.96038,                0.56048,                 1.3916,                0.85035,                 1.3559,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.4385,                0.94902,                 1.3607,                0.89887,                0.92482,                0.95766,                0.52626,                 1.4399,                0.83079,                 1.3538,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4599,                0.96147,                 1.3774,                0.91738,                0.89167,                0.96271,                0.53124,                 1.5046,                0.81673,                 1.3682,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.4198,                0.93752,                 1.3344,                0.79594,                0.61063,                0.73848,                0.37877,                 1.7317,                 1.5385,                  1.588,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.4389,                0.94239,                  1.345,                0.91934,                0.95199,                0.97352,                0.58634,                   1.33,                0.78415,                 1.3119,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.4279,                0.94699,                 1.3728,                0.92509,                0.92668,                0.96993,                0.56768,                  1.382,                0.79676,                 1.3213,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4277,                 0.9095,                 1.3179,                  0.917,                0.90863,                0.96788,                0.55615,                 1.4421,                 0.8114,                 1.3586,               0.009307,               0.009307,               0.009307
                     72,                 1.4259,                0.92108,                 1.3432,                 0.9277,                0.91806,                0.96173,                0.57148,                 1.3849,                0.80183,                 1.3509,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.3789,                0.90189,                 1.3179,                0.91683,                0.93722,                0.96608,                0.56533,                 1.3767,                0.80871,                 1.3516,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.4238,                0.94018,                 1.3296,                0.91627,                0.93026,                0.96687,                0.56383,                 1.3751,                 0.8103,                 1.3324,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.4031,                0.90052,                 1.3271,                 0.8956,                0.91142,                0.96042,                 0.5478,                  1.424,                0.84336,                 1.3625,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.4215,                0.90851,                 1.3285,                0.91749,                0.95955,                0.97418,                0.57359,                 1.3544,                0.77013,                 1.3045,              0.0092575,              0.0092575,              0.0092575
                     77,                   1.38,                0.90609,                 1.3181,                0.83868,                0.65308,                0.80502,                0.41716,                 1.6539,                 1.3939,                 1.5149,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.4025,                0.91212,                 1.3271,                0.88256,                0.92569,                0.96399,                0.57335,                 1.3614,                0.80175,                 1.3149,              0.0092377,              0.0092377,              0.0092377
                     79,                  1.393,                0.90387,                 1.3215,                0.93913,                0.96258,                 0.9782,                0.60138,                 1.2759,                0.75731,                 1.2622,              0.0092278,              0.0092278,              0.0092278
