                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8023,                 4.7025,                  4.206,                0.00124,                0.09179,                0.00118,                0.00039,                 4.2046,                 4.3526,                 4.1307,                 0.0901,                 0.0011,                 0.0011
                      1,                 3.8676,                 4.5961,                 4.1708,                0.00125,                0.08937,                0.00121,                0.00042,                 4.1936,                 4.3668,                 4.0853,               0.079277,              0.0022772,              0.0022772
                      2,                 3.8476,                 4.5061,                 4.1209,                0.00133,                0.08937,                 0.0019,                0.00062,                 4.1833,                 4.3246,                 4.0496,               0.068431,              0.0034307,              0.0034307
                      3,                 3.9582,                 4.4333,                 4.0764,                0.00046,                 0.1087,                0.00161,                0.00049,                 4.1632,                 4.2766,                 4.0032,                0.05756,              0.0045604,              0.0045604
                      4,                 3.9813,                 4.3068,                 4.0171,                0.00035,                0.10145,                0.00036,                0.00013,                 4.1366,                 4.2756,                 3.9536,               0.046666,              0.0056664,              0.0056664
                      5,                 3.9204,                 4.2795,                 3.9444,                0.00025,                0.07488,                0.00022,                  7e-05,                  4.094,                 4.2694,                 3.8961,               0.035749,              0.0067485,              0.0067485
                      6,                 3.8851,                  4.149,                 3.8659,                0.00027,                0.07971,                0.00033,                  9e-05,                 4.0515,                 4.2549,                 3.8333,               0.024807,               0.007807,               0.007807
                      7,                 3.9279,                 4.0784,                 3.7617,                0.00029,                0.08454,                0.00103,                0.00017,                  3.985,                  4.218,                  3.728,               0.013842,              0.0088416,              0.0088416
                      8,                 3.8126,                 4.0259,                 3.6528,                0.00037,                 0.1087,                0.00332,                0.00043,                 3.8521,                 4.2124,                 3.5171,               0.009208,               0.009208,               0.009208
                      9,                 3.8264,                 3.9623,                 3.5625,                0.00049,                0.11147,                0.00076,                 0.0002,                 3.8953,                 4.5132,                 3.4801,               0.009208,               0.009208,               0.009208
                     10,                  3.726,                 3.8035,                 3.4194,                0.00023,                0.01667,                0.00013,                  2e-05,                 3.9209,                 23.472,                 3.4968,               0.009109,               0.009109,               0.009109
                     11,                 3.7938,                 3.6487,                 3.4056,                0.56346,                0.00725,                0.00675,                0.00111,                  4.187,                 4.3783,                 4.1837,                0.00901,                0.00901,                0.00901
                     12,                 3.7212,                  3.484,                 3.3119,                0.01989,                0.01522,                0.01302,                0.00499,                 3.9027,                    inf,                 3.4218,               0.008911,               0.008911,               0.008911
                     13,                 3.6144,                 3.4331,                 3.2584,                0.79067,                0.01712,                 0.0087,                 0.0023,                  3.828,                 20.131,                 3.3572,               0.008812,               0.008812,               0.008812
                     14,                 3.6885,                  3.432,                 3.2399,                0.34806,                0.00966,                0.00297,                0.00096,                 3.8386,                 41.977,                 3.3468,               0.008713,               0.008713,               0.008713
                     15,                 3.6337,                 3.3396,                 3.2585,                0.78525,                0.03382,                0.00515,                0.00217,                 3.6717,                 10.646,                 3.3056,               0.008614,               0.008614,               0.008614
                     16,                 3.5436,                  3.351,                 3.2118,                0.33972,                0.00483,                0.00129,                0.00039,                 3.7889,                    inf,                 3.3333,               0.008515,               0.008515,               0.008515
                     17,                 3.5415,                 3.1761,                 3.1527,                0.00049,                0.06039,                0.00038,                0.00015,                 3.9129,                 6.6102,                 3.4648,               0.008416,               0.008416,               0.008416
                     18,                 3.4723,                 3.1564,                  3.111,                0.55758,                0.01449,                0.00135,                 0.0004,                 3.7683,                  15.08,                 3.3627,               0.008317,               0.008317,               0.008317
                     19,                 3.4411,                 3.1071,                 3.1171,                0.00438,                 0.0314,                0.00287,                0.00049,                 3.7526,                    inf,                 3.3433,               0.008218,               0.008218,               0.008218
                     20,                 3.3617,                 3.1263,                 3.0369,                0.00298,                0.04831,                0.00239,                0.00063,                 3.8296,                    inf,                 3.9907,               0.008119,               0.008119,               0.008119
                     21,                 3.3784,                 3.1135,                 3.0628,                0.47405,                0.15217,                0.08608,                0.02862,                 3.3485,                 32.526,                 3.2337,                0.00802,                0.00802,                0.00802
                     22,                 3.2236,                 2.9697,                 2.9667,                 0.2431,                0.07838,                0.02681,                0.00796,                 3.8155,                 44.833,                 4.0724,               0.007921,               0.007921,               0.007921
                     23,                 3.1709,                 2.8758,                 2.8879,                0.61203,                0.11547,                0.10692,                0.02784,                 3.1175,                 16.016,                 3.0802,               0.007822,               0.007822,               0.007822
                     24,                 3.1374,                 2.8854,                 2.8815,                0.72441,                0.09952,                0.07245,                0.02098,                  3.268,                 8.8154,                 3.1869,               0.007723,               0.007723,               0.007723
